Item,ID_Calle,Nombre_Calle,ID_Calle_Origen,ID_Calle_Final,ID_Origen_intereccion,ID_Final_Interseccion,distancia_Km,velocidad,Costo1,Costo2,Latitud_Origen_Interseccion,Longitud_Origen_Interseccion,Latitud_Destino_Interseccion,Longitud_Destino_Interseccion
515,4831287,Av. Santiago Antunez de Mayolo,1359115529,31044995,55196,12984,0.0164213,60,0.0002737,1000000,-11.996372,-77.0855465,-11.9963405,-77.085399
516,4831287,Av. Santiago Antunez de Mayolo,31044995,2477162071,12984,95941,0.0223886,60,0.0003731,1000000,-11.9963405,-77.085399,-11.9963028,-77.0851968
517,4831287,Av. Santiago Antunez de Mayolo,2477162071,31044958,95941,8909,0.0494998,60,0.000825,1000000,-11.9963028,-77.0851968,-11.996232,-77.0847476
518,4831287,Av. Santiago Antunez de Mayolo,31044958,31044959,8909,182,0.0274857,60,0.0004581,1000000,-11.996232,-77.0847476,-11.9961987,-77.0844972
519,4831287,Av. Santiago Antunez de Mayolo,31044959,1359115472,182,55677,0.0624637,60,0.0010411,1000000,-11.9961987,-77.0844972,-11.9961107,-77.08393
520,4831287,Av. Santiago Antunez de Mayolo,1359115472,1359115468,55677,54776,0.0341,60,0.0005683,1000000,-11.9961107,-77.08393,-11.9960697,-77.0836193
521,4831287,Av. Santiago Antunez de Mayolo,1359115468,2477162063,54776,95921,0.0092366,60,0.0001539,1000000,-11.9960697,-77.0836193,-11.9960597,-77.083535
522,4831287,Av. Santiago Antunez de Mayolo,2477162063,1359115459,95921,54782,0.0146046,60,0.0002434,1000000,-11.9960597,-77.083535,-11.9960439,-77.0834017
523,4831287,Av. Santiago Antunez de Mayolo,1359115459,1359115378,54782,55328,0.2874404,60,0.0047907,1000000,-11.9960439,-77.0834017,-11.9956619,-77.080788
524,4831287,Av. Santiago Antunez de Mayolo,1359115378,2477162001,55328,95886,0.3319763,60,0.0055329,1000000,-11.9956619,-77.080788,-11.9952209,-77.0777693
525,4831287,Av. Santiago Antunez de Mayolo,2477162001,1359115302,95886,54671,0.0381196,60,0.0006353,1000000,-11.9952209,-77.0777693,-11.9951701,-77.0774227
526,4831287,Av. Santiago Antunez de Mayolo,1359115302,1359115291,54671,55255,0.0529317,60,0.0008822,1000000,-11.9951701,-77.0774227,-11.9950965,-77.0769419
527,4831287,Av. Santiago Antunez de Mayolo,1359115291,842846555,55255,16169,0.0743158,60,0.0012386,1000000,-11.9950965,-77.0769419,-11.9950007,-77.0762657
528,4831287,Av. Santiago Antunez de Mayolo,842846555,1359115231,16169,16175,0.1370976,60,0.002285,1000000,-11.9950007,-77.0762657,-11.9948183,-77.0750191
529,4831287,Av. Santiago Antunez de Mayolo,1359115231,1273966805,16175,36314,0.1856177,60,0.0030936,1000000,-11.9948183,-77.0750191,-11.9945781,-77.0733303
530,4831287,Av. Santiago Antunez de Mayolo,1273966805,842846613,36314,16181,0.1531054,60,0.0025518,1000000,-11.9945781,-77.0733303,-11.9941151,-77.0720306
531,4831287,Av. Santiago Antunez de Mayolo,842846613,31069235,16181,42579,0.1283201,60,0.0021387,1000000,-11.9941151,-77.0720306,-11.99314,-77.0714235
532,4831287,Av. Santiago Antunez de Mayolo,31069235,842775208,42579,16101,0.1247944,60,0.0020799,1000000,-11.99314,-77.0714235,-11.9920266,-77.0714601
533,4831287,Av. Santiago Antunez de Mayolo,842775208,842772162,16101,16059,0.0736637,60,0.0012277,1000000,-11.9920266,-77.0714601,-11.9913724,-77.0715668
534,4831287,Av. Santiago Antunez de Mayolo,842772162,769214408,16059,108,0.0134567,60,0.0002243,1000000,-11.9913724,-77.0715668,-11.9912519,-77.0715783
535,4831299,Av. Las Palmeras,31069262,31069291,109,110,0.0109002,60,0.0001817,1000000,-11.9663497,-77.067724,-11.9663706,-77.0678219
536,4831299,Av. Las Palmeras,31069291,769214459,110,47569,0.0424051,60,0.0007068,1000000,-11.9663706,-77.0678219,-11.9664292,-77.0682071
537,4831299,Av. Las Palmeras,769214459,273424032,47569,2531,0.2285899,60,0.0038098,1000000,-11.9664292,-77.0682071,-11.9670433,-77.0701972
